State,TotalArea,LandArea,WaterArea,Density,Pop
Alaska,665384,570641,94743,1.2863,734002
Texas,268596,261232,7365,112.8204,29472300
California,163696,155779,7916,256.3728,39937500
Montana,147040,145546,1494,7.4668,1086760
New Mexico,121590,121298,292,17.285,2096640
Arizona,113990,113594,396,64.9549,7378490
Nevada,110572,109781,791,28.5993,3139660
Colorado,104094,103642,452,56.4012,5845530
Oregon,98379,95988,2391,44.8086,4301090
Wyoming,97813,97093,720,5.84,567025
Michigan,96714,56539,40175,177.665,10045000
Minnesota,86936,79627,7309,71.5922,5700670
Utah,84897,82170,2727,39.943,3282120
Idaho,83569,82643,926,22.097,1826160
Kansas,82278,81759,520,35.5968,2910360
Nebraska,77348,76824,524,25.4161,1952570
South Dakota,77116,75811,1305,11.9116,903027
Washington,71298,66456,4842,117.3273,7797100
North Dakota,70698,69001,1698,11.0393,761723
Oklahoma,69899,68595,1304,57.6546,3954820
Missouri,69707,68742,965,89.7453,6169270
Florida,65758,53625,12133,410.1259,21993000
Wisconsin,65496,54158,11339,108.0496,5851750
Georgia,59425,57513,1912,186.6726,10736100
Illinois,57914,55519,2395,228.0246,12659700
Iowa,56273,55857,416,56.9284,3179850
New York,54555,47126,7429,412.5218,19440500
North Carolina,53819,48618,5201,218.271,10611900
Arkansas,53179,52035,1143,58.403,3039000
Alabama,52420,50645,1775,96.9221,4908620
Louisiana,52378,43204,9174,107.5174,4645180
Mississippi,48432,46923,1509,63.7056,2989260
Pennsylvania,46054,44743,1312,286.5454,12820900
Ohio,44826,40861,3965,287.504,11747700
Virginia,42775,39490,3285,218.4404,8626210
Tennessee,42144,41235,909,167.2749,6897580
Kentucky,40408,39486,921,113.9566,4499690
Indiana,36420,35826,593,188.2809,6745350
Maine,35380,30843,4537,43.6336,1345790
South Carolina,32020,30061,1960,173.3176,5210100
West Virginia,24230,24038,192,73.9691,1778070
Maryland,12406,9707,2699,626.6735,6083120
Hawaii,10932,6423,4509,219.9424,1412690
Massachusetts,10554,7800,2754,894.4359,6976600
Vermont,9616,9217,400,68.1416,628061
New Hampshire,9349,8953,397,153.161,1371250
New Jersey,8723,7354,1368,1215.1985,8936570
Connecticut,5543,4842,701,735.8695,3563080
Delaware,2489,1949,540,504.3073,982895
Rhode Island,1545,1034,511,1021.4313,1056160
